time,corrected_accel,corrected_disp,corrected_vel
0,-25.156094878937,0,0
0.005,-24.925497342547,-0.00031314097271177,-0.12520398055371
0.01,-24.694899806157,-0.0012494193789872,-0.24925497342547
0.015,-24.464302269766,-0.0028030702804166,-0.37215297861527
0.02,-24.233704733376,-0.0049683287385901,-0.49389799612313
0.025,-24.003107196986,-0.007739429815098,-0.61449002594903
0.03,-23.772509660595,-0.011110608571531,-0.73392906809299
0.035,-23.541912124205,-0.015076100069478,-0.85221512255499
0.04,-23.311314587815,-0.019630139370531,-0.96934818933504
0.045,-23.080717051425,-0.024766961536278,-1.0853282684331
0.05,-22.850119515034,-0.030480801628312,-1.2001553598493
0.055,-22.619521978644,-0.036765894708221,-1.3138294635835
0.06,-22.388924442254,-0.043616475837597,-1.4263505796357
0.065,-22.158326905864,-0.051026780078029,-1.537718708006
0.07,-21.927729369473,-0.058991042491107,-1.6479338486944
0.075,-21.697131833083,-0.067503498138423,-1.7569960017008
0.08,-21.466534296693,-0.076558382081565,-1.8649051670252
0.085,-21.235936760303,-0.086149929382125,-1.9716613446677
0.09,-21.005339223912,-0.096272375101692,-2.0772645346282
0.095,-20.774741687522,-0.10691995430186,-2.1817147369068
0.1,-20.544144151132,-0.11808690204421,-2.2850119515034
0.105,-20.313546614742,-0.12976745339034,-2.3871561784181
0.11,-20.082949078351,-0.14195584340184,-2.4881474176509
0.115,-19.852351541961,-0.1546463071403,-2.5879856692016
0.12,-19.621754005571,-0.16783307966731,-2.6866709330705
0.125,-19.391156469181,-0.18151039604446,-2.7842032092574
0.13,-19.16055893279,-0.19567249133333,-2.8805824977623
0.135,-18.9299613964,-0.21031360059553,-2.9758087985853
0.14,-18.69936386001,-0.22542795889263,-3.0698821117263
0.145,-18.46876632362,-0.24100980128624,-3.1628024371854
0.15,-18.238168787229,-0.25705336283794,-3.2545697749625
0.155,-18.007571250839,-0.27355287860932,-3.3451841250577
0.16,-17.776973714449,-0.29050258366197,-3.4346454874709
0.165,-17.546376178059,-0.30789671305748,-3.5229538622021
0.17,-17.315778641668,-0.32572950185744,-3.6101092492515
0.175,-17.085181105278,-0.34399518512344,-3.6961116486188
0.18,-16.854583568888,-0.36268799791708,-3.7809610603042
0.185,-16.623986032498,-0.38180217529993,-3.8646574843077
0.19,-16.393388496107,-0.4013319523336,-3.9472009206292
0.195,-16.162790959717,-0.42127156407967,-4.0285913692688
0.2,-15.932193423327,-0.44161524559974,-4.1088288302264
0.205,-15.701595886937,-0.46235723195539,-4.187913303502
0.21,-15.470998350546,-0.48349175820821,-4.2658447890958
0.215,-15.240400814156,-0.5050130594198,-4.3426232870075
0.22,-15.009803277766,-0.52691537065174,-4.4182487972373
0.225,-14.779205741376,-0.54919292696562,-4.4927213197852
0.23,-14.548608204985,-0.57183996342304,-4.5660408546511
0.235,-14.318010668595,-0.59485071508558,-4.638207401835
0.24,-14.087413132205,-0.61821941701484,-4.709220961337
0.245,-13.856815595814,-0.6419403042724,-4.7790815331571
0.25,-13.626218059424,-0.66600761191986,-4.8477891172952
