vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,352,23,2113,2113,0,0.365911,70996500000
2,1,353,23,2114,2114,0,0.366688,70506100000
2,2,354,23,2115,2115,0,0.367499,70002300000
2,3,355,23,2116,2116,0,0.368341,69487100000
2,4,356,23,2117,2117,0,0.365902,71002200000
2,5,357,23,2118,2118,0,0.366675,70514200000
2,6,358,23,2119,2119,0,0.36748,70014100000
2,7,359,23,2120,2120,0,0.368317,69501900000
2,8,360,23,2121,2121,0,0.36589,71009600000
2,9,361,23,2122,2122,0,0.36666,70523600000
2,10,362,23,2123,2123,0,0.367461,70025500000
2,11,363,23,2124,2124,0,0.368295,69514800000
2,12,364,23,2125,2125,0,0.365883,71014200000
2,13,365,23,2126,2126,0,0.366651,70529400000
2,14,366,23,2127,2127,0,0.36745,70032300000
2,15,367,23,2128,2128,0,0.368283,69522200000
2,16,368,23,2129,2129,0,0.365878,71017000000
2,17,369,23,2130,2130,0,0.366645,70532900000
2,18,370,23,2131,2131,0,0.367443,70036300000
2,19,371,23,2132,2132,0,0.368275,69526800000
2,20,372,23,2133,2133,0,0.365875,71019100000
2,21,373,23,2134,2134,0,0.366641,70535300000
2,22,374,23,2135,2135,0,0.367438,70039200000
2,23,375,23,2136,2136,0,0.36827,69530100000
2,24,376,23,2137,2137,0,0.365872,71020700000
2,25,377,23,2138,2138,0,0.366637,70537300000
2,26,378,23,2139,2139,0,0.367434,70041600000
2,27,379,23,2140,2140,0,0.368265,69532700000
2,28,380,23,2141,2141,0,0.36587,71022000000
2,29,381,23,2142,2142,0,0.366635,70538800000
2,30,382,23,2143,2143,0,0.367432,70043200000
2,31,383,23,2144,2144,0,0.368262,69534500000
2,32,384,23,2145,2145,0,0.365868,71022800000
2,33,385,23,2146,2146,0,0.366633,70539600000
2,34,386,23,2147,2147,0,0.36743,70044100000
2,35,387,23,2148,2148,0,0.36826,69535500000
2,36,388,23,2149,2149,0,0.365868,71023300000
2,37,389,23,2150,2150,0,0.366633,70540000000
2,38,390,23,2151,2151,0,0.367429,70044400000
2,39,391,23,2152,2152,0,0.368259,69535900000
2,40,392,23,2153,2153,0,0.365868,71022800000
2,41,393,23,2154,2154,0,0.366634,70539200000
2,42,394,23,2155,2155,0,0.367431,70043400000
2,43,395,23,2156,2156,0,0.368261,69534700000
2,44,396,23,2157,2157,0,0.365872,71020200000
2,45,397,23,2158,2158,0,0.36664,70535600000
2,46,398,23,2159,2159,0,0.367438,70039100000
2,47,399,23,2160,2160,0,0.368269,69529700000
2,48,400,23,2161,2161,0,0.365881,71014400000
2,49,401,23,2162,2162,0,0.366652,70528000000
2,50,402,23,2163,2163,0,0.367453,70029400000
2,51,403,23,2164,2164,0,0.36829,69517500000
2,52,404,23,2165,2165,0,0.365876,71017800000
2,53,405,23,2166,2166,0,0.36665,70529200000
2,54,406,23,2167,2167,0,0.367464,70022900000
2,55,407,23,2168,2168,0,0.368326,69495700000
,,,,,,,0.367065053571429,70275155357.1429
