vtkCompositeIndexArray,vtkOriginalIndices,vtkOriginalCellIds,Cell Type,GlobalElementId,ObjectId,PedigreeElementId,__vtkIsSelected__,aux_poissons_ratio,aux_youngs_modulus
2,0,24,23,1785,1,1785,0,0.363372,72273400000
2,1,25,23,1786,1,1786,0,0.363376,72271000000
2,2,26,23,1787,1,1787,0,0.363378,72269300000
2,3,27,23,1788,1,1788,0,0.363379,72268500000
2,4,664,23,2425,1,2425,0,0.363358,72282600000
2,5,665,23,2426,1,2426,0,0.363358,72282500000
2,6,666,23,2427,1,2427,0,0.363358,72282500000
2,7,667,23,2428,1,2428,0,0.363358,72282400000
2,8,668,23,2429,1,2429,0,0.363359,72282400000
2,9,669,23,2430,1,2430,0,0.363359,72282200000
2,10,670,23,2431,1,2431,0,0.363359,72282000000
2,11,671,23,2432,1,2432,0,0.363359,72281900000
2,12,672,23,2433,1,2433,0,0.363361,72280900000
2,13,673,23,2434,1,2434,0,0.363362,72280300000
2,14,674,23,2435,1,2435,0,0.363362,72280000000
2,15,675,23,2436,1,2436,0,0.363362,72279900000
,,,,,,,,0.36336375,72278862500
