time,acceleration,velocity,displacement
0.00500,0.00002,0.00005,0.00000
0.01000,0.00001,0.00013,0.00000
0.01500,0.00001,0.00020,0.00000
0.02000,0.00001,0.00026,0.00000
0.02500,0.00002,0.00035,0.00000
0.03000,0.00000,0.00041,0.00001
0.03500,-0.00001,0.00040,0.00001
0.04000,0.00000,0.00039,0.00001
0.04500,0.00000,0.00041,0.00001
0.05000,0.00000,0.00041,0.00001
0.05500,0.00001,0.00042,0.00002
0.06000,0.00002,0.00047,0.00002
0.06500,0.00002,0.00057,0.00002
0.07000,0.00001,0.00065,0.00002
0.07500,0.00000,0.00069,0.00003
0.08000,0.00000,0.00070,0.00003
0.08500,-0.00001,0.00069,0.00003
0.09000,0.00000,0.00068,0.00004
0.09500,-0.00001,0.00065,0.00004
0.10000,-0.00002,0.00057,0.00004
0.10500,0.00000,0.00052,0.00005
0.11000,0.00000,0.00051,0.00005
0.11500,0.00001,0.00054,0.00005
0.12000,0.00001,0.00059,0.00005
0.12500,-0.00001,0.00058,0.00006
0.13000,0.00000,0.00055,0.00006
0.13500,0.00000,0.00054,0.00006
0.14000,-0.00001,0.00052,0.00007
0.14500,-0.00002,0.00045,0.00007
0.15000,-0.00002,0.00035,0.00007
0.15500,-0.00001,0.00027,0.00007
0.16000,-0.00001,0.00021,0.00007
0.16500,0.00000,0.00019,0.00007
0.17000,0.00001,0.00022,0.00008
0.17500,0.00001,0.00026,0.00008
0.18000,0.00001,0.00030,0.00008
0.18500,0.00001,0.00035,0.00008
0.19000,0.00000,0.00038,0.00008
0.19500,-0.00001,0.00037,0.00008
0.20000,-0.00001,0.00034,0.00008
0.20500,0.00000,0.00033,0.00009
0.21000,0.00002,0.00039,0.00009
0.21500,0.00001,0.00046,0.00009
0.22000,0.00001,0.00052,0.00009
0.22500,0.00002,0.00061,0.00010
0.23000,0.00002,0.00070,0.00010
0.23500,0.00002,0.00078,0.00010
0.24000,0.00001,0.00083,0.00011
0.24500,0.00001,0.00088,0.00011
0.25000,0.00001,0.00092,0.00012
0.25500,-0.00001,0.00092,0.00012
0.26000,-0.00001,0.00087,0.00012
0.26500,-0.00002,0.00079,0.00013
0.27000,-0.00002,0.00070,0.00013
0.27500,0.00000,0.00065,0.00014
0.28000,0.00000,0.00063,0.00014
0.28500,0.00001,0.00065,0.00014
0.29000,0.00003,0.00074,0.00015
0.29500,0.00003,0.00089,0.00015
0.30000,0.00003,0.00102,0.00015
0.30500,0.00003,0.00116,0.00016
0.31000,0.00002,0.00129,0.00017
0.31500,0.00002,0.00141,0.00017
0.32000,0.00000,0.00147,0.00018
0.32500,0.00001,0.00149,0.00019
0.33000,0.00000,0.00149,0.00019
0.33500,-0.00004,0.00138,0.00020
0.34000,-0.00003,0.00122,0.00021
0.34500,-0.00003,0.00107,0.00021
0.35000,-0.00003,0.00093,0.00022
0.35500,0.00000,0.00086,0.00022
0.36000,-0.00001,0.00082,0.00023
0.36500,0.00001,0.00082,0.00023
0.37000,0.00003,0.00093,0.00024
0.37500,0.00002,0.00105,0.00024
0.38000,0.00002,0.00115,0.00025
0.38500,0.00005,0.00132,0.00025
0.39000,0.00004,0.00155,0.00026
0.39500,0.00002,0.00170,0.00027
0.40000,0.00002,0.00179,0.00028
0.40500,0.00002,0.00188,0.00029
0.41000,0.00001,0.00194,0.00030
0.41500,0.00000,0.00196,0.00031
0.42000,-0.00001,0.00194,0.00032
0.42500,-0.00001,0.00189,0.00032
0.43000,0.00000,0.00185,0.00033
0.43500,0.00000,0.00183,0.00034
0.44000,0.00000,0.00181,0.00035
0.44500,0.00001,0.00183,0.00036
0.45000,0.00001,0.00187,0.00037
